review,sentiment
need create simple personal website store books titles written reviews database using,stability
know would way harder way complicated simple discord bot made basic primal bot pc buddies use likely even impossible possible anyone know could point direction information source kind set bot ps  say send picture dish upon request something like ps  chat bot could interact connect group chat,stability
augmented reality software tool suggest creating location based using unity currently using vuforia augmented reality hard time implementing location based ar using mapbox anyone idea tool software easier used developing location based ar,stability
im looking build isometric spaces rooms eventually add animation short using cinema  d something easier learning curve prebuilt models furnish rooms suppose great popular modules c d like make process easy novice video exactly im trying accomplish https wwwyoutubecom watchvzdxjhboyikwwe currently use exhibitcore event planner quick trade show mockups kind im shooting terms speed model libraryany advice guidance appreciated thank,stability
splunk enterprise house license running bare metal machine space constraint planning move azure cloud one option available azure market place splunk option figure cosmos db anyone ever done kind deployment advisable way migration existing license splunk work please advicethanks,stability
 large video files  h  gb recordings  days sport event sport event hundreds min min maches want cut videos parts part consist one matchas understand video edition software would open huge file select match cut part discard rest save separate file repeat time consumingdo know software open huge file select parts want save save separate files would save lot time effort,stability
ever growing database products users site entering input form users submit products part troubleshooter forum quick encourage forum posts products defined type brand model name requestedthe result large database products connected official manufacturers upc sku codes want improve site using apis retrieve images products obtain pricing etc request codesso go ahead plan clearly need find way try improve quality data anyone know way update old data kind service product match based strings names,stability
looking php framework like yii visualize data ingres ii database connected odbc yii would nice use doesnt support ingres database know anybody good alternative thanks advance,stability
many financial apps support csv export using contributing money manager ex android http androidmoneymanagerexorg open source app supports export csv qif formats also wrote python library https gitlabcom alensiljak moneymanagerexlib reading database export csv happen outside app either pc mobile devicethere plenty tools convert csv formats ledger syntax append book file,stability
task need visual studio code extension edit python source files py preferably one time ideally entire vscode workspace single remote server using visual studio code app installed clientrequirements  mandatory  dont want  install vscode remote server install code remote server necessary example python modules would like keep installations remote server minimum  mandatory extension  must be  stable reliable configuring one extensions timeconsuming thus dont want spend time configure one crash lose connectivity every  nice extension easy configure im visual studio code wizard however ive able deal nontrivial configurations thus requirement mandatorywhat know alreadyi know many extensions available vscode marketplace https marketplacevisualstudiocom im difficulties choosing among seem popular good allow editing one file time bad remote vscode https marketplacevisualstudiocom itemsitemnamerafaelmaiollaremotevscode#overview others allow editing multiple files occasionally unstable remote workspace https marketplacevisualstudiocom itemsitemnamemkloubertvscoderemoteworkspace even extensions remote fs https marketplacevisualstudiocom itemsitemnameliximomoremotefs ssh fs https marketplacevisualstudiocom itemsitemnamekelvinvscodesshfs#overview help choosing extension better suited use case,stability
whats best java custom api http post request connection,stability
